Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
AAPL,Apple Inc.,565.25,"$527,022,142,500",n/a,1980,n/a,n/a,http://www.nasdaq.com/symbol/aapl
XOM,Exxon Mobil Corporation,84.57,"$397,687,211,340",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/xom
MSFT,Microsoft Corporation,30.98,"$259,946,085,580",n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/msft
BAC^I,Bank of America Corporation,24.79,"$248,692,932,940",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bac^i
IBM,International Business Machines Corporation,204.99,"$236,452,685,160",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibm
CVX,Chevron Corporation,103.72,"$204,956,113,440",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvx
GE,General Electric Company,19.34,"$204,595,287,780",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ge
WMT,"Wal-Mart Stores, Inc.",58.7,"$199,619,622,500",n/a,1970,n/a,n/a,http://www.nasdaq.com/symbol/wmt
T,AT&T Inc.,32.86,"$194,818,790,720",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/t
JNJ,Johnson & Johnson,64.74,"$178,035,000,000",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jnj
PG,Procter & Gamble Company (The),64.28,"$176,134,013,680",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pg
WFC,Wells Fargo & Company,33.03,"$174,320,383,140",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc
KO,Coca-Cola Company (The),77,"$173,860,918,000",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ko
PFE,"Pfizer, Inc.",22.38,"$168,687,705,780",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pfe
JPM,J P Morgan Chase & Co,41.75,"$159,589,416,750",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm
GOOG,Google Inc.,596.97,"$153,994,978,170",n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/goog
PM,Philip Morris International Inc,89.13,"$152,883,619,440",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pm
VOD,Vodafone Group Plc,27.79,"$143,333,955,870",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vod
ORCL,Oracle Corporation,28.41,"$142,784,029,170",n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/orcl
INTC,Intel Corporation,27.9,"$139,388,400,000",n/a,1971,n/a,n/a,http://www.nasdaq.com/symbol/intc
MRK,"Merck & Company, Inc.",38.84,"$118,180,293,480",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mrk
VZ,Verizon Communications Inc.,40.26,"$114,379,988,580",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vz
BRK/A,Berkshire Hathaway Inc.,121950,"$113,901,300,000",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brk/a
QCOM,QUALCOMM Incorporated,61.91,"$104,715,688,380",n/a,1991,n/a,n/a,http://www.nasdaq.com/symbol/qcom
PEP,"Pepsico, Inc.",65.9,"$103,065,293,500",n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pep
